ID,Issue ID,GitHub Issue,user added labels?,Do not count,Why do not count?,Confirmed Reproduced,num_events_before_label_ALL,num_comments_before_label_ALL,num_comments_before_confirmation,time_at_confirmation,num_comments_before_label,num_comments_before_close,num_events,num_events_before_label,num_events_before_close,times_reopened,Commit,user or dev,Time opened,time bug labeled,time of first comment from a dev,time closed,time commited,number of comments,time between open and close,Time between open and label,time between open and first comment,time between open and commit,time between label and close,time between label and comment,time between label and commit,time between comment and close,time between comment and commit,time between close and commit,"Type of additional info added (S2R, OB, context, EB)","value of additional info (number of S2Rs and whether they are setup steps or not, type of context, etc)","how is the information presented? (Image, text, annotated image, video, etc)",timestamp of additional info,time between added info and issue open,time between added info and bug label,time between added info and dev comment,time between added info and close,time between added info and commit,additional notes,comment number,"Type of additional info added (S2R, OB, context, EB).1","value of additional info (number of S2Rs and whether they are setup steps or not, type of context, etc).1","how is the information presented? (Image, text, annotated image, video, etc).1",timestamp of additional info.1,time between added info and issue open.1,time between added info and bug label.1,time between added info and dev comment.1,time between added info and close.1,time between added info and commit.1,additional notes.1,comment number.1,"Type of additional info added (S2R, OB, context, EB).2","value of additional info (number of S2Rs and whether they are setup steps or not, type of context, etc).2","how is the information presented? (Image, text, annotated image, video, etc).2",timestamp of additional info.2,time between added info and issue open.2,time between added info and bug label.2,time between added info and dev comment.2,time between added info and close.2,time between added info and commit.2,additional notes.2,comment number.2,Unique Comments with Added Info,RQ2_Tag,# of Bug Report S2Rs,# of Script Setup Steps,# of Script BR-Specific Steps,# of Unlinked Script S2Rs,# of S2Rs that Lead to Multiple GUI actions,# of gui actions,OB Specificity,"S2R Type (Image, Annotated Image, Text, Recording)","OB Type (Image, Annotated Image, Text, Recording)","EB Type (Image, Annotated Image, Text, Recording)","Context Type (Image, Annotated Image, Text, Recording)","Context Content (phone type, app version, os, etc)",notes on issue,ones,Confrimation Status,User Added Labels,Bug Fix Result,Confirmation Timestamp,Comments Before Confirmation,User Assigned Dev,User Labeled as Bug?,Do not count.1,new_rq2_tag,Navigation?,rq6_setup_ratio,rq6_unlinked_ratio,rq6_ratio,rq5_s2r,true_time_b4_repro,true_comments_before_label,developer requested info,cosmetic type,output category,external flle,Annotated Text?,,S2R Annotated Text?,OB Annotated Text?
44,44,https://github.com/federicoiosue/Omni-Notes/issues/634,0,,,1,4,1,,,1,1,8,4,4,0,8d09f7ab504d520f9c456c2a12a5aa0067be0d90,USER,12/7/18 9:39,,12/19/18 0:00,12/19/18 0:00,12/28/18 0:00,1,-295:02:45,,-295:02:45,-494:20:29,,,,0:00:00,-199:17:44,-199:17:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,gui,3,8,11,5,2,18,1,"['image', 'text']","['image', 'text']",['text'],['text'],"['app version', 'os', 'phone type']",,1,Implicitly Reproduced,0,Fixed,,,,,,output,,0.333333333,0.208333333,0.541666667,0.666666667,,1,,,incorrect output,,input,,1,0
45,45,https://github.com/federicoiosue/Omni-Notes/issues/764,0,?,added to a milestone before bug label added. hard to tack down where reproduction actually occurred,1,9,7,,,6,6,18,9,9,0,68d074acc7e3e8acda7709b88f007820e81923cd,USER,6/8/20 6:16,,6/11/20 0:00,10/1/20 0:00,8/23/20 0:00,7,-2760:10:10,,-74:45:30,-1817:43:37,,,,-2685:24:40,-1742:58:07,942:26:33,S2R,1 setup,"['text','recording']",##########,75:10:37,,0:25:07,-2684:59:33,-1742:33:00,"clarification, not additional step",2,context,"phone type, os",text,6/11/20,75:10:37,,0:25:07,-2684:59:33,-1742:33:00,provided info for 2 phones,2,,,,,,,,,,,,1,gui,7,8,12,1,0,27,1,"['text', 'recording']","['text', 'recording']",['text'],['text'],"['app version', 'os', 'phone type']",,1,implicitly Reproduced,0,Fixed,,,,,?,output,,0.380952381,0.047619048,0.428571429,0,,7,1,,missing function,,gui,,1,0
50,50,https://github.com/asuc-octo/berkeley-mobile-android/issues/82,,,,0,6,0,,,0,0,20,4,8,0,d61672a19c538250f305352d35dace108c3594cd,USER,9/23/18 23:15,10/16/18 0:00,,10/18/18 0:00,,0,-598:55:01,548.9816667,,,-49:56:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,crash,1,2,1,0,0,1,1,['text'],['text'],['text'],['none'],['none'],,1,Implicitly Reproduced,1,Closed,,,0,1,,crash,,0.666666667,0,0.666666667,0,548.9816667,0,,,,,0,,,
51,51,https://github.com/alexstyl/Memento-Calendar/issues/168,0,,,1,1,0,,,0,2,14,1,3,0,2542c42b677b77620d170bb89bc68da767b4d65e,USER,2/14/18 20:32,2/18/18 0:00,2/18/18 0:00,6/9/18 0:00,6/20/18 0:00,3,-2757:17:11,89.65361111,-89:40:25,-3003:27:22,-2667:37:58,-0:01:12,-2913:48:09,-2667:36:46,-2913:46:57,-246:10:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,gui,3,2,6,1,2,10,1,"['text', 'recording']","['image', 'text', 'recording']","['image', 'text']",['text'],"['app version', 'os', 'phone type']",images are missing due to dead links,1,Explicitly Reproduced,0,Fixed,2018-02-18T14:13:03Z,0,,,,cosmetic,,0.222222222,0.111111111,0.333333333,0.666666667,89.68416667,0,,image,,,gui,,1,1
53,53,https://github.com/gsantner/markor/issues/1020,,,,0,3,0,,,0,0,12,3,6,0,73c73f21ffecbdec2d35bae8e0472980572af8e5,USER,8/2/20 17:14,9/20/20 0:00,,10/1/20 0:00,10/1/20 0:00,0,-1435:02:55,1170.149444,,-1422:45:29,-264:53:57,,-252:36:31,,,12:17:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,gui,6,8,8,3,1,15,1,['text'],"['image', 'text']",['none'],['text'],['app version'],EB is implied but not stated,1,Implicitly Reproduced,0,Fixed,,,,,,cosmetic,,0.421052632,0.157894737,0.578947368,0.166666667,1170.149444,0,,text,,,0,,,
54,54,https://github.com/gsantner/markor/issues/331,,,,1,1,2,,,2,7,10,1,5,0,1a5478a490eb569551f4e30f2d668e28a9f95559,USER,9/11/18 6:01,9/12/18 0:00,9/12/18 0:00,9/14/18 0:00,9/14/18 0:00,8,-88:57:42,25.335,-25:11:44,-65:58:01,-63:37:36,0:08:22,-40:37:55,-63:45:58,-40:46:17,22:59:41,S2R,2 bug,text,##########,25:11:01,-0:09:05,-0:00:43,-63:46:41,-40:47:00,alternative steps to reproduce,1,context,"phone type, os",text,9/12/18,25:11:01,-0:09:05,-0:00:43,-63:46:41,-40:47:00,different user than filer,1,,,,,,,,,,,,1,gui,6,8,6,1,1,10,1,['text'],['text'],['none'],['text'],"['app version', 'os']",EB is implied but not stated,1,Explicitly Reproduced,0,Fixed,2018-09-12T07:21:58Z,1,,,,output,,0.533333333,0.066666667,0.6,0.166666667,25.34944444,1,0,,missing function,,gui,no quotes,1,0
55,55,https://github.com/PhenoApps/Field-Book/issues/131,,,,0,1,0,,,0,1,6,0,2,0,395e94bf62312dfd3df66fdbad75412aacf733a2,USER,5/12/20 11:53,5/12/20 0:00,9/21/20 0:00,9/28/20 0:00,9/28/20 0:00,1,-3342:06:41,0,-3168:03:53,-3324:06:19,-3342:06:41,-3168:03:53,-3324:06:19,-174:02:48,-156:02:26,18:00:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,gui,3,1,20,0,3,26,1,['text'],"['image', 'text']",['text'],['text'],"['app version', 'os', 'phone type']",,1,Implicitly Reproduced,1,Fixed,,,0,1,,cosmetic,,0.047619048,0,0.047619048,1,0,0,,cut content,,,gui,,1,1
56,56,https://github.com/PhenoApps/Field-Book/issues/137,,?,"Opener added the label, was over a month before a dev looked at it",0,1,0,,,0,2,8,0,3,0,68912f28ed6408d65198fecbb80e16e75d1c3532,USER,7/22/20 10:06,7/22/20 0:00,8/25/20 0:00,9/2/20 0:00,9/1/20 0:00,2,-1002:22:51,0,-828:27:03,-973:53:30,-1002:22:51,-828:27:03,-973:53:30,-173:55:48,-145:26:27,28:29:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,gui,4,1,12,0,3,18,1,['text'],['text'],['text'],['text'],"['app version', 'os', 'phone type']",,1,Implicitly Reproduced,1,Fixed,,,0,1,?,output,,0.076923077,0,0.076923077,0.75,0,0,,,missing function,,gui,,1,1
62,62,https://github.com/Swati4star/Images-to-PDF/issues/85,,?,Mentioned later on that the bug label was assigned before reproduction. I used the commit from a dev that fixed it as evidence of reproduction but that's not great.,0,1,0,,,0,8,22,1,11,0,e5ec9ddbf335cffb226f4d82fac4f48b6c756667,USER,6/7/18 8:23,6/7/18 0:00,6/26/18 0:00,7/4/18 0:00,7/4/1018,8,-655:28:45,0.607222222,-457:26:21,8765192:23:09,-654:52:19,-456:49:55,8765192:59:35,-198:02:24,8765649:49:30,8765847:51:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,gui,5,1,14,4,4,16,1,['text'],['text'],['none'],['none'],['none'],,1,Implicitly Reproduced,0,Fixed,,,,,?,output,,0.052631579,0.210526316,0.263157895,0.8,0.607222222,0,,,incorrect output,1,0,,,
71,71,https://github.com/Neamar/KISS/issues/1481,,,,1,1,0,0,2020-05-03T21:28:29Z,0,3,8,0,3,0,3102b83a3c6208f7ba36a235d71254f1c8c8a9ff,USER,5/3/20 21:04,5/3/20 0:00,5/3/20 0:00,5/3/20 0:00,5/3/20 0:00,3,-1:16:29,0,-0:23:32,21:04:19,-1:16:29,-0:23:32,21:04:19,-0:52:57,21:27:51,22:20:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,gui,5,1,5,0,0,6,1,['text'],['text'],['text'],['text'],"['app version', 'installer']",,1,Explicitly Reproduced,1,Fixed,2020-05-03T21:28:29Z,0,0,1,,output,,0.166666667,0,0.166666667,0,0.408055556,0,,,missing function,,gui,,1,1
73,73,https://github.com/AntennaPod/AntennaPod/issues/2992,,,,1,2,1,1,2019-01-19T09:46:19Z,1,11,42,2,21,1,d26d2126072654ba95f31f2bb638479bc2f199c4,USER,1/16/19 16:59,1/19/19 0:00,1/18/19 0:00,4/11/19 0:00,4/11/19 0:00,11,-2041:51:19,64.78416667,-51:11:31,-2023:00:44,-1977:04:16,13:35:32,-1958:13:41,-1990:39:48,-1971:49:13,18:50:35,context,"phone type, os",text,##########,51:10:44,-13:36:19,-0:00:47,-1990:40:35,-1971:50:00,different user with the same issue,1,,,,,,,,,,,,,,,,,,,,,,,1,gui,3,2,3,0,1,9,1,['text'],"['image', 'text']","['image', 'text']",['text'],"['app version', 'installer', 'os', 'phone type']",,1,Explicitly Reproduced,0,Fixed,2019-01-19T09:46:19Z,1,,,,output,,0.4,0,0.4,0.333333333,64.78861111,1,0,,missing function,,0,,,
76,76,https://web.archive.org/web/20200921050834/https://github.com/trebleshot/android/issues/79,,,,1,4,2,,,1,2,12,2,3,0,bea5ce3bce36cccf5a34d833ac6d8fc2e237984d,USER,3/8/19 4:31,3/8/19 0:00,3/8/19 0:00,3/13/19 0:00,3/13/19 0:00,3,-131:47:09,7.125,-7:03:42,-115:28:47,-124:39:39,0:03:48,-108:21:17,-124:43:27,-108:25:05,16:18:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,gui,3,1,6,6,0,6,1,['text'],['text'],['text'],['text'],"['app version', 'installer', 'language', 'os', 'phone type']",,1,Implicitly Reproduced,0,Fixed,,,,,,output,,0.076923077,0.461538462,0.538461538,0,7.125,2,,,incorrect output,,gui,,1,0
77,77,https://github.com/CypherpunkArmory/UserLAnd/issues/753,,,,1,11,6,6,2019-04-10T18:38:46Z,4,7,24,7,8,0,0dc015cf230c5268c4945188b701d56c0f99eff6,USER,4/9/19 6:22,4/10/19 18:39,4/9/19 16:17,4/10/19 23:45,4/10/19 0:00,11,1.724282407,1.511273148,0.413078704,0.734178241,0.213009259,1.098194444,0.777094907,1.311203704,0.321099537,0.990104167,OB,text,,4/9/19 17:30,11:07:13,-25:09:01,1:12:23,-30:15:45,-6:30:00,"there is additional discussion between the dev and user, but no additional info is provided",3,,,,,,,,,,,,,,,,,,,,,,,1,gui,3,8,0,6,0,6,1,['text'],['text'],['text'],['text'],"['app version', 'os', 'phone type']",,1,Explicitly Reproduced,0,Fixed,2019-04-10T18:38:46Z,6,0,0,,output,,,,,,,,1,,missing function,,0,,,
84,84,https://github.com/ultrasonic/ultrasonic/issues/187,,,,1,17,6,,,5,7,36,13,14,0,95496eb1200e892600b60d5048248e893b339af3,USER,4/2/18 20:12,4/3/18 0:00,4/3/18 0:00,4/4/18 0:00,,8,-46:21:23,23.04555556,-12:36:56,,-23:18:39,10:25:48,,-33:44:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,gui,8,1,8,0,0,8,1,['text'],['logcat'],['text'],['text'],"['app version', 'os']",,1,Implicitly Reproduced,0,Fixed,,,,,,crash,,0.111111111,0,0.111111111,0,23.04555556,6,,,,,gui,,1,0
87,87,https://github.com/ultrasonic/ultrasonic/issues/203,,,,1,5,2,,,2,2,16,1,4,0,9c117386ba979be405b1a5cca960947a81012b25,USER,6/20/18 1:59,6/20/18 0:00,6/20/18 0:00,7/15/18 0:00,7/15/18 0:00,3,-606:30:13,8.764722222,-4:40:09,-606:30:13,-597:44:20,4:05:44,-597:44:20,-601:50:04,-601:50:04,0:00:00,S2R,4 setup,text,##########,9:47:37,1:01:44,5:07:28,-596:42:36,-596:42:36,info was added after bug label,3,,,,,,,,,,,,,,,,,,,,,,,1,crash,8,1,8,0,0,8,1,['text'],['text'],['text'],['text'],"['app version', 'os', 'phone type']",,1,Implicitly Reproduced,0,Fixed,,,,,,crash,,0.111111111,0,0.111111111,0,8.764722222,2,0,,,,gui,,0,1
89,89,https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/issues/164,,,,1,20,7,4,2018-04-15T15:15:17Z,4,5,48,8,12,0,c57733f132ad9abc38622100d5864a82e1f84870,USER,4/10/18 0:47,4/21/18 0:00,4/10/18 0:00,4/29/18 0:00,,8,-456:11:25,284.8944444,-18:42:55,,-171:17:45,266:10:45,,-437:28:30,,,context,"account info, phone type",text,##########,23:13:49,-261:39:51,4:30:54,-432:57:36,,,2,context,phone type,text,4/15/18,122:09:49,-162:43:51,103:26:54,-334:01:36,,different user than filer,4,,,,,,,,,,,,2,gui,8,1,8,0,0,8,1,['text'],['text'],['text'],['text'],"['app version', 'os', 'phone type']",,1,Explicitly Reproduced,0,Fixed,2018-04-15T15:15:17Z,4,,,,crash,,0.111111111,0,0.111111111,0,134.4713889,4,1,,,,gui,,0,1
91,91,https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/issues/191,,?,"bug was likely assigned before reproduction, using commit pushed to designate reproduction time",0,1,0,,,0,2,16,1,4,0,b5433c0e9a7e86f234915d409abe2d46c62363bb,USER,6/14/18 21:24,6/14/18 0:00,6/15/18 0:00,6/16/18 0:00,6/16/18 0:00,3,-38:10:25,1.843333333,-20:11:46,-38:10:25,-36:19:49,-18:21:10,-36:19:49,-17:58:39,-17:58:39,0:00:00,context,"phone type, os",text,##########,20:33:30,18:42:54,0:21:44,-17:36:55,-17:36:55,,2,,,,,,,,,,,,,,,,,,,,,,,1,gui,2,1,2,1,0,3,1,['text'],['text'],['text'],['none'],['none'],,1,Implicitly Reproduced,0,Fixed,,,,,?,output,,0.25,0.25,0.5,0,1.843333333,0,1,,missing function,,0,,,
